mol_id,smiles,predicted_dta,docking_affinity,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,SA,Lipinski_Fail
1,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1[NH1]C,9.001,-8.245,233.35899999999998,1.6636,3,3,46.0,1,0.4766851835368023,4.96040769775637,0
2,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1CC,8.969,-8.59,232.37099999999995,3.1018000000000017,2,2,33.97,1,0.5378817977220668,4.818636928525601,0
3,C1C=CCC=CCCC=C2[NH1]C2CCC1CC,8.967,-8.798,231.38299999999995,4.334900000000004,1,1,21.94,1,0.5261692486127213,4.497187390064062,0
4,C1C=CCC=CCCC=C[NH1]CCC1CC,8.886,-8.077,219.37199999999996,4.192400000000004,1,1,12.03,1,0.6519446540256744,4.2020407055667555,0
5,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1C,8.762,-7.87,218.34399999999997,2.7117000000000013,2,2,33.97,0,0.48403035939824746,4.922635476697861,0
6,CC1=CCC=CC[NH1]C=C2[NH1]C2CCOC1[NH1]C,8.669,-8.184,249.358,1.2476,3,4,55.230000000000004,1,0.48341674798940687,5.28735177267696,0
7,C1C=CCC=CC[NH1]C=C2[NH1]C2[NH1]CC1CC,8.668,-8.583,233.35899999999998,1.8686999999999998,3,3,46.0,1,0.47844093998078385,5.120336313140986,0
8,C1C=CCC=CCC[NH1]C2=CC2C=CC1F,8.655,-8.58,219.303,3.2803000000000013,1,1,12.03,0,0.6164424955412615,5.145381794210136,0
9,C1C=CCC=CC[NH1]CC2[NH1]C2CCC1CC,8.655,-7.917,234.38699999999997,2.6290000000000004,2,2,33.97,1,0.5400562273166292,4.73866810229094,0
10,O1C=CCC=CC[NH1]C=C2[NH1]C2CCC1CC,8.654,-8.5,234.34299999999996,2.4382,2,3,43.2,1,0.5407602205962591,5.097722774679447,0
11,C1C=CCC=CCC[NH1]C2=CC2CCC1F,8.639,-8.624,221.31899999999996,3.5043000000000024,1,1,12.03,0,0.617230093323408,4.945422710740415,0
12,C1C=CCCNCCC=C2[NH1]C2CCC1CC,8.638,-7.809,234.38699999999997,2.978200000000001,2,2,33.97,1,0.5400790151590533,4.4548569285256026,0
13,C1C=CCC=CCC[NH1]C2=CC2C=CC1Cl,8.616,-7.995,235.758,3.5496000000000025,1,1,12.03,0,0.5002816303751544,5.09793073038035,0
14,C1C=CCC=CC[NH1]C=C2[NH1]C2CC=C1CC,8.587,-8.332,230.35499999999996,3.0219000000000014,2,2,33.97,1,0.5361157035154892,4.941838262140811,0
15,C1=CC=CCC[NH1]C2=CC2C=CC1F,8.584,-7.616,191.24900000000002,2.5001000000000007,1,1,12.03,0,0.5799880091694627,5.301175938005701,0
16,C1C=CCC=CCCC=C2OC2CCC1[NH1],8.58,-8.024,218.31999999999996,3.3872000000000018,0,1,36.33,0,0.45326687492570095,5.234822056075931,0
17,C12C=CCC=CCCC=C[NH1]C1CCC2CC,8.577,-8.22,231.38299999999998,4.190800000000003,1,1,12.03,1,0.6671853945523814,4.949484102290939,0
18,C1C=CCCCC[NH1]C2=CC2C=CC1F,8.57,-8.054,207.29200000000003,3.114200000000001,1,1,12.03,0,0.6017376320025096,4.817229605349102,0
19,C1C=CCC=CCCC=C2[NH1]C2CCC1[NH1],8.566,-8.456,217.33599999999998,2.9602000000000013,1,1,45.74,0,0.49186062959918386,5.212568046255963,0
20,C1C=CCC=CCC[NH1]C2=CC2COC1F,8.563,-8.093,223.29099999999997,2.698200000000001,1,2,21.259999999999998,0,0.6374614754487042,5.181299306485096,0
21,CC1=CCC=CC[NH1]C=C2[NH1]C2CCNC1[NH1]C,8.556,-7.409,248.37400000000002,0.8206000000000008,4,4,58.03,1,0.4098540705544289,5.356241713505362,0
22,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1[NH1]Cl,8.54,-8.177,253.777,2.1875999999999998,3,3,46.0,1,0.3814295297526635,5.178526159294832,0
23,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1[NH1],8.528,-8.167,218.32399999999998,1.7270999999999999,2,2,57.769999999999996,0,0.48030722097519163,5.554535640363983,0
24,C1C=CCC=CCCC=C2[NH1]C2CCC1[NH1]C,8.517,-8.198,232.37099999999998,2.896700000000001,2,2,33.97,1,0.5382479233985987,4.638958159294832,0
25,C1C=CCC=NC[NH1]C=C2[NH1]C2CCC1CC,8.511,-8.152,233.35899999999998,2.573900000000001,2,3,46.33,1,0.5399212969574134,5.166128313140986,0
26,C1S=CCC=CCC[NH1]C2=CC2C=CC1F,8.5,-8.165,239.359,2.601700000000001,2,1,12.03,0,0.3760501864939093,6.116960517614392,0
27,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1[NH1]CC,8.5,-8.404,247.38599999999997,2.0536999999999996,3,3,46.0,2,0.5168375787540698,4.832275067306859,0
28,CC1=CCC=CC[NH1]C=C[NH1]CCCCC1C,8.494,-7.009,234.38699999999997,3.349400000000002,2,2,24.06,0,0.6281061280979149,4.481040070618049,0
29,C1C=CCC=CC[NH1]C2=CC2CCC1F,8.461,-8.093,207.29199999999997,3.114200000000001,1,1,12.03,0,0.6017376320025095,5.018168766188262,0
30,C1C=CCC=CCCC=C2[NH1]C2CCC1C,8.461,-8.837,217.35599999999997,3.9448000000000025,1,1,21.94,0,0.4814866515337633,4.580667882589841,0
31,C1=NCCC=CCC[NH1]C2=CC2C=CC1F,8.451,-7.922,220.291,2.4048000000000007,1,2,24.39,0,0.6228054479953656,5.452300943146306,0
32,C1C=CCC=CC(C)=C2[NH1]C2CCC1CC,8.442,-8.361,217.35599999999994,3.9448000000000034,1,1,21.94,1,0.5211975163125366,4.477592681565151,0
33,C1C=CCC=CCC=C2[NH1]C2CCC1[NH1]C,8.436,-8.385,218.34399999999997,2.5066000000000006,2,2,33.97,1,0.5235990858367523,4.761136295028468,0
34,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1[NH1]CCl,8.419,-7.763,267.804,2.2301,3,3,46.0,2,0.31121063657246195,5.1548669395855224,0
35,CC1=CCC=CC[NH1]C2=CC2CCC1F,8.417,-8.06,207.29199999999997,3.114200000000001,1,1,12.03,0,0.6017376320025095,4.978348266920088,0
36,C1C=CCCOCCC=C2[NH1]C2CC=C1,8.405,-7.467,205.30100000000002,2.5451000000000006,1,2,31.17,0,0.4864884905911859,4.500071568334942,0
37,CC1=CCC=CC[NH1]CS=C2[NH1]C2CCC1[NH1]C,8.391,-7.228,267.442,1.3751,4,3,46.0,1,0.2511527900068817,5.646579583327847,0
38,C1C=CCC=CCC[NH1]C2=CC2C=CC1SF,8.38,-8.124,251.37,3.9285000000000023,1,2,12.03,1,0.7086781944126561,5.489128620833293,0
39,C1C=CCC=CC[NH1]C2=CC2CCC1[NH1]C,8.374,-8.007,218.344,2.3641000000000005,2,2,24.06,1,0.6602545640972107,4.752793250838614,0
40,C1C=CCC=CC[NH1]C=C2[NH1]C2COC1CC,8.357,-8.049,234.34299999999996,2.0906,2,3,43.2,1,0.539123783718974,5.071786159294832,0
